title,url,platform,score,genre,editors_choice,release_year
LittleBigPlanet PS Vita,/games/littlebigplanet-vita/vita-98907,PlayStation Vita,9,Platformer,Y,2012
LittleBigPlanet PS Vita -- Marvel Super Hero Edition,/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059,PlayStation Vita,9,Platformer,Y,2012
Splice: Tree of Life,/games/splice/ipad-141070,iPad,8.5,Puzzle,N,2012
NHL 13,/games/nhl-13/xbox-360-128182,Xbox 360,8.5,Sports,N,2012
NHL 13,/games/nhl-13/ps3-128181,PlayStation 3,8.5,Sports,N,2012
Total War Battles: Shogun,/games/total-war-battles-shogun/mac-142565,Macintosh,7,Strategy,N,2012
Double Dragon: Neon,/games/double-dragon-neon/xbox-360-131320,Xbox 360,3,Fighting,N,2012
Guild Wars 2,/games/guild-wars-2/pc-896298,PC,9,RPG,Y,2012
Double Dragon: Neon,/games/double-dragon-neon/ps3-131321,PlayStation 3,3,Fighting,N,2012
Total War Battles: Shogun,/games/total-war-battles-shogun/pc-142564,PC,7,Strategy,N,2012
Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/ps3-124584,PlayStation 3,7.5,Fighting,N,2012
Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/xbox-360-124581,Xbox 360,7.5,Fighting,N,2012
Wild Blood,/games/wild-blood/iphone-139363,iPhone,7,,N,2012
Mark of the Ninja,/games/mark-of-the-ninja-135615/xbox-360-129276,Xbox 360,9,"Action, Adventure",Y,2012
Mark of the Ninja,/games/mark-of-the-ninja-135615/pc-143761,PC,9,"Action, Adventure",Y,2012
Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/mac-20014750,Macintosh,6.5,Adventure,N,2012
Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/pc-137135,PC,6.5,Adventure,N,2012
Avengers Initiative,/games/avengers-initiative/iphone-141579,iPhone,8,Action,N,2012
Way of the Samurai 4,/games/way-of-the-samurai-4/ps3-23516,PlayStation 3,5.5,"Action, Adventure",N,2012
JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/xbox-360-137717,Xbox 360,7,Fighting,N,2012
JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/ps3-137896,PlayStation 3,7,Fighting,N,2012
Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/xbox-360-138918,Xbox 360,7.5,RPG,N,2012
Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/ps3-138915,PlayStation 3,7.5,RPG,N,2012
Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/pc-138919,PC,7.5,RPG,N,2012
Dark Souls (Prepare to Die Edition),/games/dark-souls-prepare-to-die-edition/pc-131930,PC,9,"Action, RPG",Y,2012
Symphony,/games/symphony/pc-136470,PC,7,Shooter,N,2012
Bastion,/games/bastion/ipad-140874,iPad,9,"Action, RPG",Y,2012
Tom Clancy's Ghost Recon Phantoms,/games/tom-clancys-ghost-recon-online/pc-109114,PC,7.5,Shooter,N,2012
Thirty Flights of Loving,/games/thirty-flights-of-loving/pc-138374,PC,8,Adventure,N,2012
Legasista,/games/legasista/ps3-127147,PlayStation 3,6.5,"Action, RPG",N,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/mac-135875,Macintosh,9,Adventure,Y,2012
World of Warcraft: Mists of Pandaria,/games/world-of-warcraft-mists-of-pandaria/pc-114681,PC,8.7,RPG,Y,2012
Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/ps3-129409,PlayStation 3,4.9,Platformer,N,2012
Pokemon White Version 2,/games/pokemon-white-version-2/nds-129228,Nintendo DS,9.6,RPG,Y,2012
War of the Roses,/games/war-of-the-roses-140577/pc-115849,PC,7.3,Action,N,2012
